codigo,modelo
5451,Focus TITA/TITA Plus 2.0  Flex 5p Aut.
5452,Focus TITANIUM 2.0 16V Flex 5p Mec.
808,Furglaine 3.6
809,Furglaine 3.9 Diesel
810,Furglaine Chateaux/Exec. 3.9 Diesel
10006,Fusion 2.5 16V 193cv Aut. (Híbrido)
6381,Fusion 2.5L I-VCT Flex Aut.
7826,Fusion SE 2.5 I-VCT Flex 16V Aut.
7755,Fusion SEL 2.0 Ecobo. 16V 248cv Aut.
4061,Fusion SEL 2.3 16V  162cv Aut.
4922,Fusion SEL 2.5 16V 173cv Aut.
5622,Fusion SEL 3.0 V6  24V 243cv Aut.
4923,Fusion SEL 3.0 V6 AWD 24V 243cv Aut.
10007,Fusion Titanium 2.0 145cv Aut. (Híbrido)
6324,Fusion Titanium 2.0 GTDI Eco. Awd Aut.
6382,Fusion Titanium 2.0 GTDI Eco. Fwd Aut.
811,Ibiza 3.9 Furgão Diesel
812,Ibiza Chat./Exec. 3.9 Diesel
4514,Ka 1.0 8V/1.0 8V ST Flex 3p
8744,Ka 1.0 FREESTYLE 12V Flex 5p Mec.
8149,Ka 1.0 S TiVCT Flex 5p
6915,Ka 1.0 SE/SE Plus TiVCT Flex 5p
6914,Ka 1.0 SEL TiVCT Flex 5p
8122,Ka 1.0 TECNO 12V Flex 5p
4789,Ka 1.0 TECNO 8V Flex 3p
813,Ka 1.0i 3p
8745,Ka 1.5 100 Anos Flex 5p Aut.
8401,Ka 1.5 FreeStyle 12V Flex 5p Aut.
8402,Ka 1.5 FreeStyle 12V Flex 5p Mec.
8440,Ka 1.5 SE 12V Flex 5p Aut.
8441,Ka 1.5 SE 12V Flex 5p Mec.
8442,Ka 1.5 SE Plus 12V Flex 5p Aut.
8443,Ka 1.5 SE Plus 12V Flex 5p Mec.
6916,Ka 1.5 SE/SE PLUS 16V Flex 5p
8444,Ka 1.5 Sedan SE 12V Flex 4p Aut.
8445,Ka 1.5 Sedan SE 12V Flex 4p Mec.
8446,Ka 1.5 Sedan SE Plus 12V Flex 4p Aut.
8447,Ka 1.5 Sedan SE Plus 12V Flex 4p Mec.
8746,Ka 1.5 Sedan SEL 12V Flex 4p Aut.
8448,Ka 1.5 Sedan SEL 12V Flex 4p Mec.
8403,Ka 1.5 Sedan TITANIUM 12V Flex 4p Aut.
8449,Ka 1.5 TITANIUM 12V Flex 5p Aut.
4515,Ka 1.6 8V Flex 3p
4790,Ka 1.6 TECNO 8V Flex 3p
814,Ka Action 1.6 MPI 8V 95cv
815,Ka Black 1.0 MPI 8v 65cv
816,Ka Black 1.6 MPI 8v 95cv
817,Ka CLX 1.3i 3p
818,Ka GL 1.0i Zetec Rocam
819,Ka GL Image 1.0i/ 1.0i Zetec Rocam
820,Ka Image 1.0i
3887,Ka MP3 1.0 MPI 8V 65cv
3888,Ka MP3 1.6 MPI 8V 95cv
6917,Ka SEL 1.5 16V Flex 5p
5623,Ka Sport 1.6 8V Flex 3p
821,Ka Street 1.0i
822,Ka Tecno 1.0i 8v Zetec Rocam
7905,Ka TRAIL 1.0 12V Flex Mec. 5p
7904,Ka TRAIL 1.5 16V Flex Mec. 5p
823,Ka XR 1.6 MPI 8V
6919,Ka+ Sedan 1.0 SE/SE PLUS TiVCT Flex 4p
6918,Ka+ Sedan 1.0 SEL TiCVT Flex 4p
8123,Ka+ Sedan 1.5 ADVANCED 16V Flex 4p
6920,Ka+ Sedan 1.5 SE/SE PLUS 16V Flex 4p
6921,Ka+ Sedan 1.5 SEL 16V Flex 4p
9744,Maverick Lariat FX4 2.0 EcoBoost Aut.
10758,Maverick Lariat Hybrid 2.5 Aut.
824,Mondeo CLX 1.8 4p e 5p
825,Mondeo CLX 1.8i SW
826,Mondeo CLX 2.0i 4p Aut
827,Mondeo CLX 2.0i 4p Mec
828,Mondeo CLX 2.0i SW Aut
829,Mondeo CLX 2.0i SW Mec
830,Mondeo Ghia 2.0 16V 143cv 4p Aut
831,Mondeo Ghia 2.0 16V 143cv 4p Mec
832,Mondeo Ghia 2.5 V6 Aut
833,Mondeo Ghia 2.5 V6 Mec
834,Mondeo GLX 2.0 16V 4p Aut
835,Mondeo GLX 2.0 4p e 5p
836,Mondeo GLX 2.0i SW Mec./ Aut.
837,Mustang 3.8 V6
838,Mustang 3.8 V6 Conv.
8987,Mustang Black Shadow 5.0 V8
839,Mustang Cobra 5.7 V8
8238,Mustang GT Premium 5.0 V8
840,Mustang GT V8
841,Mustang GT V8 Conversível
9354,Mustang MACH 1 5.0 V8
10868,Mustang Mach-E GT Performance (Elétrico)
842,Pampa 4x4 Jeep GL / L 1.6
843,Pampa Ghia 1.6/1.8/DUO
844,Pampa GL 1.6/ 1.8
845,Pampa L 1.6
846,Pampa L 1.8i / 1.8
847,Pampa S 1.8
848,Probe 2.0/2.2
849,Probe GT 2.5 V6
850,Ranger 2.5 4x2 CD TB Diesel
851,Ranger 2.5 4x2 CE Diesel
852,Ranger 2.5 4x2 TB Diesel
853,Ranger 2.5 4x4 CD TB Diesel
854,Ranger 2.5 4x4 CE TB Diesel
855,Ranger 2.5 4x4 TB Diesel
856,Ranger 2.5i CD
857,Ranger 2.5i CE
858,Ranger 2.5i CS
9359,Ranger Black 2.2 4x2 CD Diesel Aut.
9772,Ranger FX4 3.2 20V 4x4 CD Diesel Aut.
4998,Ranger Limited 2.3 150cv CD
6163,Ranger Limited 2.5 16V 4x2 CD Flex
859,Ranger Limited 3.0 PSE 4x4 CD TB Diesel
10761,Ranger Limited 3.0 V6 4x4 CD TB Die. Aut
10741,Ranger Limited 3.2 4x4 CD Diesel Aut.
10762,Ranger Limited+ 3.0 V6 4x4 CD TB Die Aut
10891,Ranger Raptor 3.0 V6 Bi-Turbo 4WD AUT.
860,Ranger Splash CE
861,Ranger Splash CS
6746,Ranger SPORT 2.5 Flex 16V 4x2 CS
8079,Ranger SPORTRAC 2.2 16V 4x4 CD Dies Aut.
9080,Ranger Storm 3.2 20V 4x4 CD Diesel Aut.
862,Ranger STX 4.0 CS/ CE
6525,Ranger TROPICAB 2.5 16V 4X2 Flex
