codigo,modelo
4161,F-250 TropiCab CE 3.9 TB Diesel
755,F-250 Tropical 3.9 Diesel
756,F-250 Tropical 4.2 CE / CD Diesel TB
757,F-250 Tropical 4.2 V6
758,F-250 Tropical SL/ Van T.Diesel (todas)
4162,F-250 Tropicampo CD 3.9 TB Diesel
4163,F-250 Tropiclassic 3.9 TB Diesel
4164,F-250 Tropivan Executive 3.9 TB Diesel
4165,F-250 Tropivan/Tropi. Plus 3.9 TB Diesel
762,F-250 XL 3.9 4x2 Diesel
4056,F-250 XL 3.9 4x4 TB Diesel
4057,F-250 XL 3.9 CD TB Diesel
759,F-250 XL 4.2 180cv CD TB Diesel
760,F-250 XL 4.2 Turbo Diesel
761,F-250 XL 4.2 V6
763,F-250 XL Super Duty 3.9 Diesel
764,F-250 XL Super Duty 4.2 TB Diesel
765,F-250 XL Super Duty 4.2 V6
4058,F-250 XLT 3.9 4x2 CD TB Diesel
766,F-250 XLT 3.9 4x2 Diesel TB
4059,F-250 XLT 3.9 4x4 CD TB Diesel
4060,F-250 XLT 3.9 4x4 TB Diesel
767,F-250 XLT 4.2 180cv CD TB Diesel
768,F-250 XLT 4.2 TB Diesel
769,F-250 XLT 4.2 V6
4135,Fiesta 1.0 8V Flex/Class 1.0 8V Flex 5p
770,Fiesta 1.0i 3p e 5p
771,Fiesta 1.3  3p e 5p
6422,Fiesta 1.5 16V Flex Mec. 5p
6423,Fiesta 1.6 16V Flex Aut. 5p
6424,Fiesta 1.6 16V Flex Mec. 5p
772,Fiesta 1.6 8V Flex/Class 1.6 8V Flex 5p
773,Fiesta Class 1.0 2p
774,Fiesta Class 1.0 4p
775,Fiesta Class 1.6 8V 98cv 5p
776,Fiesta CLX 1.3i 3p
777,Fiesta CLX 1.3i 5p
778,Fiesta CLX 1.4i 16V 3p e 5p
779,Fiesta GL 1.0 3p
780,Fiesta GL 1.0 5p
781,Fiesta GL Class 1.0i 5p
782,Fiesta GLX 1.6 8V 3p
783,Fiesta GLX 1.6 8V 5p
784,Fiesta Personnalité 1.0 8V 66cv 5p
6425,Fiesta S 1.0 8V Flex 5p
6426,Fiesta SE 1.0 8V Flex 5p
5668,Fiesta SE 1.6 16V Flex 5p
6427,Fiesta SE 1.6 8V Flex 5p
8148,Fiesta SE Plus 1.6 16V Flex Aut. 5p
8008,Fiesta SE Plus Direct 1.6 16V Flex Aut.
7753,Fiesta SE Style 1.6 16V Flex Mec. 5p
785,Fiesta Sed. 1.6 8V Flex 4p
786,Fiesta Sed. Personnalité 1.0 8V 4p
787,Fiesta Sed. Supercharger 1.0 8V 4p
6523,Fiesta Sed. TI./TI.Plus1.6 16V Flex Aut.
4136,Fiesta Sedan 1.0 8V Flex 4p
6521,Fiesta Sedan 1.6 16V Flex Aut.
6522,Fiesta Sedan 1.6 16V Flex Mec.
6428,Fiesta Sedan S 1.0 8V Flex 4p
6429,Fiesta Sedan SE 1.0 8V Flex 4p
5345,Fiesta Sedan SE 1.6 16V Flex 4p
6430,Fiesta Sedan SE 1.6 8V Flex 4p
8047,Fiesta Sedan SEL 1.6 16V Flex Aut.
8048,Fiesta Sedan SEL 1.6 16V Flex Mec.
788,Fiesta Sedan Street 1.0 8v 4p
789,Fiesta Sedan Street 1.6 8v 4p
6524,Fiesta Sedan TITANIUM 1.6 16V Flex Mec
8009,Fiesta SEL 1.0 12V EcoBoost Aut. 5p
7659,Fiesta SEL 1.6 16V Flex  Aut. 5p
7660,Fiesta SEL 1.6 16V Flex Mec. 5p
8177,Fiesta SEL Style 1.0 EcoBoost Aut . 5p
7754,Fiesta SEL Style 1.6 16V Flex Mec. 5p
790,Fiesta Sport 1.0MPi 4p
7184,Fiesta Sport 1.6 16V Flex Mec.
791,Fiesta Sport 1.6MPi 4p
792,Fiesta Street 1.0 8v 3p
793,Fiesta Street 1.6 8v 95cv 5p
794,Fiesta Street/ Action 1.0 8v 5p
795,Fiesta Supercharger 1.0 8V 95cv 5p
6431,Fiesta TIT./TIT.Plus 1.6 16V Flex Aut.
7661,Fiesta TIT.Plus 1.0 12V EcoBoost Aut. 5p
6432,Fiesta TITANIUM 1.6 16V Flex Mec.
4409,Fiesta TRAIL 1.0 8V Flex 5p
4410,Fiesta TRAIL 1.6 8V Flex 5p
6610,Focus 1.6 S/1.6 SE Flex 16v 5p Aut
796,Focus 1.6 S/SE/SE Plus Flex 8V/16V  5p
797,Focus 1.8 16V 5p
798,Focus 2.0 16V/ 2.0 16V Flex 5p
799,Focus 2.0 16V/SE/SE Plus Flex 5p Aut.
7284,Focus Fastback SE/SE PLUS 2.0 Flex Aut.
7285,Focus Fastback TIT./T.PLUS 2.0 Flex Aut.
800,Focus Ghia  2.0 16V/ 2.0 16V Flex 5p Aut
801,Focus Ghia Sed. 2.0 16V/ 2.0 16V Flex 4p
802,Focus Ghia Sed. 2.0 16V/2.0 16V Flex Aut
803,Focus Ghia/ XR 2.0 /Ghia 2.0 16V Flex 5p
5450,Focus Sed. TI./TI.Plus 2.0 16V Flex  Aut
7687,Focus Sedan 1.6 16V Flex 4p Aut.
804,Focus Sedan 1.6/1.6 Flex 8V/16V 4p Mec.
805,Focus Sedan 1.8 16V 115cv 4p
806,Focus Sedan 2.0 16V/2.0 16V Flex 4p
807,Focus Sedan 2.0 16V/2.0 16V Flex 4p Aut.
