Date	Open	High	Low	Close	Adj Close	Volume	dt_igtao
2024-02-09	42.14	42.33	41.30	41.30	41.30	30,388,000.00	20240224_155123
2024-02-14	41.10	41.40	40.86	40.99	40.99	18,315,300.00	20240224_155123
2024-02-15	41.01	42.30	40.85	42.30	42.30	33,246,400.00	20240224_155123
2024-02-16	42.09	42.89	42.06	42.69	42.69	37,268,900.00	20240224_155123
2024-02-19	42.76	42.94	42.56	42.90	42.90	12,826,700.00	20240224_155123
2024-02-20	42.77	42.82	42.10	42.45	42.45	42,375,400.00	20240224_155123
2024-02-21	42.45	42.72	42.13	42.51	42.51	20,873,800.00	20240224_155123
2024-02-22	42.67	42.68	41.80	42.19	42.19	32,162,800.00	20240224_155123
2024-02-23	42.14	42.24	41.61	41.90	41.90	43,924,500.00	20240224_155123
