Date	Open	High	Low	Close	Adj Close	Volume	dt_igtao
2024-02-09	33.88	34.41	33.74	34.29	33.20	26,972,700.00	20240224_155123
2024-02-14	34.20	34.44	34.12	34.29	33.20	12,633,200.00	20240224_155123
2024-02-15	34.38	34.63	34.14	34.58	33.48	28,507,200.00	20240224_155123
2024-02-16	34.68	34.79	34.28	34.54	33.44	22,841,600.00	20240224_155123
2024-02-19	34.58	34.94	34.55	34.92	33.81	28,274,900.00	20240224_155123
2024-02-20	34.89	35.95	34.89	35.68	34.55	55,025,400.00	20240224_155123
2024-02-21	35.65	35.83	35.48	35.48	34.35	28,407,100.00	20240224_155123
2024-02-22	34.70	34.73	34.16	34.16	34.16	21,460,700.00	20240224_155123
2024-02-23	34.20	34.38	33.87	34.26	34.26	22,705,500.00	20240224_155123
