Date	Open	High	Low	Close	Adj Close	Volume	dt_igtao
2024-02-09	13.66	13.75	13.18	13.46	13.46	99,727,200.00	20240224_155123
2024-02-14	13.42	13.54	13.22	13.37	13.37	46,804,300.00	20240224_155123
2024-02-15	13.46	13.63	13.38	13.43	13.43	49,860,300.00	20240224_155123
2024-02-16	13.52	13.62	13.35	13.48	13.48	55,291,600.00	20240224_155123
2024-02-19	13.50	13.70	13.39	13.65	13.65	28,026,600.00	20240224_155123
2024-02-20	13.70	14.02	13.63	13.97	13.97	85,230,500.00	20240224_155123
2024-02-21	14.00	14.01	13.78	13.92	13.92	43,236,100.00	20240224_155123
2024-02-22	13.96	14.11	13.91	14.00	14.00	42,741,200.00	20240224_155123
2024-02-23	14.03	14.10	13.77	13.82	13.82	34,751,100.00	20240224_155123
