Date	Open	High	Low	Close	Adj Close	Volume	dt_igtao
2024-02-09	12.92	12.98	12.81	12.95	12.95	15,447,300.00	20240224_155123
2024-02-14	12.88	12.94	12.82	12.92	12.92	16,255,700.00	20240224_155123
2024-02-15	12.93	13.02	12.84	12.85	12.85	27,820,200.00	20240224_155123
2024-02-16	12.90	12.90	12.75	12.76	12.76	21,074,800.00	20240224_155123
2024-02-19	12.77	12.81	12.65	12.81	12.81	9,229,700.00	20240224_155123
2024-02-20	12.81	13.09	12.78	12.85	12.85	26,872,100.00	20240224_155123
2024-02-21	12.84	12.92	12.75	12.90	12.90	13,911,900.00	20240224_155123
2024-02-22	12.93	13.01	12.86	12.96	12.96	16,110,800.00	20240224_155123
2024-02-23	13.00	13.01	12.82	12.89	12.89	18,944,400.00	20240224_155123
