Date	Open	High	Low	Close	Adj Close	Volume	dt_igtao
2024-02-09	66.10	66.59	65.38	65.92	65.92	18,534,800.00	20240224_155124
2024-02-14	65.99	66.14	65.51	65.72	65.72	12,497,900.00	20240224_155124
2024-02-15	65.50	65.87	65.04	65.51	65.51	17,360,200.00	20240224_155124
2024-02-16	66.49	68.32	66.34	68.00	68.00	40,947,100.00	20240224_155124
2024-02-19	67.04	67.59	66.64	67.49	67.49	12,571,600.00	20240224_155124
2024-02-20	66.15	66.36	65.19	66.01	66.01	44,417,200.00	20240224_155124
2024-02-21	65.62	66.63	65.60	66.51	66.51	20,362,800.00	20240224_155124
2024-02-22	66.84	67.80	66.80	67.22	67.22	35,910,500.00	20240224_155124
2024-02-23	68.25	69.07	67.24	67.38	67.38	42,133,700.00	20240224_155124
