codigo;modelo
692;{'codigo': 692, 'nome': 'Escort GL 1.8i 16V 4p'}
693;{'codigo': 693, 'nome': 'Escort GLX 1.6i'}
694;{'codigo': 694, 'nome': 'Escort GLX 1.8i 16V 4p'}
695;{'codigo': 695, 'nome': 'Escort GLX 1.8i 8v'}
696;{'codigo': 696, 'nome': 'Escort Guarujá 1.8 4p'}
697;{'codigo': 697, 'nome': 'Escort Hobby 1.0'}
698;{'codigo': 698, 'nome': 'Escort Hobby 1.6'}
699;{'codigo': 699, 'nome': 'Escort L 1.8i / 1.8'}
700;{'codigo': 700, 'nome': 'Escort L/LX 1.6'}
701;{'codigo': 701, 'nome': 'Escort RS 1.8i 16V'}
702;{'codigo': 702, 'nome': 'Escort S.W GL 1.8i 16V'}
703;{'codigo': 703, 'nome': 'Escort S.W. GLX 1.8i 16V'}
704;{'codigo': 704, 'nome': 'Escort SW 1.9 16v'}
705;{'codigo': 705, 'nome': 'Escort SW GL 1.6 MPI'}
706;{'codigo': 706, 'nome': 'Escort XR3 1.8 / 1.6 Beneton/Form./Laser'}
707;{'codigo': 707, 'nome': 'Escort XR3 1.8 / 1.6 Conversível'}
708;{'codigo': 708, 'nome': 'Escort XR3 2.0i'}
709;{'codigo': 709, 'nome': 'Escort XR3 2.0i Conversível'}
710;{'codigo': 710, 'nome': 'Expedition 5.4 V8'}
711;{'codigo': 711, 'nome': 'Explorer Limited 4.0 4x4 V6 213cv'}
712;{'codigo': 712, 'nome': 'Explorer Limited 5.0 4x4 V8'}
713;{'codigo': 713, 'nome': 'Explorer Sport 4.0 V6'}
714;{'codigo': 714, 'nome': 'Explorer XL 4x2 4.0 V6'}
715;{'codigo': 715, 'nome': 'Explorer XL 4x4 4.0 V6'}
716;{'codigo': 716, 'nome': 'Explorer XLT 4x2 4.0 V6'}
717;{'codigo': 717, 'nome': 'Explorer XLT 4x4 4.0 V6'}
718;{'codigo': 718, 'nome': 'F-100 2.3'}
719;{'codigo': 719, 'nome': 'F-100 Blazer 2.3'}
720;{'codigo': 720, 'nome': 'F-100 CD 2.3'}
721;{'codigo': 721, 'nome': 'F-100 Super 2.3'}
722;{'codigo': 722, 'nome': 'F-100 Super Série 2.3'}
723;{'codigo': 723, 'nome': 'F-1000 CD/Blazer 3.6'}
724;{'codigo': 724, 'nome': 'F-1000 CD/Blazer 3.9 Dies.'}
725;{'codigo': 725, 'nome': 'F-1000 Lightning/ Super 4.9i'}
726;{'codigo': 726, 'nome': 'F-1000 Regular Cab. 4.9i'}
727;{'codigo': 727, 'nome': 'F-1000 S. S. Diesel / S.S. Diesel Turbo'}
728;{'codigo': 728, 'nome': 'F-1000 SR XK  Deserter Diesel'}
729;{'codigo': 729, 'nome': 'F-1000 SR XK Deserter'}
730;{'codigo': 730, 'nome': 'F-1000 Super 3.6 / Super Série 3.6'}
731;{'codigo': 731, 'nome': 'F-1000 Super CE 4.9i / 3.6'}
732;{'codigo': 732, 'nome': 'F-1000 Super Diesel / Super Diesel Turbo'}
733;{'codigo': 733, 'nome': 'F-1000 Super Diesel CE 3.9'}
734;{'codigo': 734, 'nome': 'F-1000 Super Série CE 4.9/3.6'}
735;{'codigo': 735, 'nome': 'F-1000 Super Série CE Diesel 3.9'}
736;{'codigo': 736, 'nome': 'F-1000 Super/ S.Série 4x4 3.9 Diesel'}
738;{'codigo': 738, 'nome': 'F-1000 Tropical CD 4.9i'}
737;{'codigo': 737, 'nome': 'F-1000 Tropical CD HSD 2.5/4.3 Diesel TB'}
739;{'codigo': 739, 'nome': 'F-1000 Tropical SL/ Van 4.9i'}
740;{'codigo': 740, 'nome': 'F-1000 Tropical SL/ Van T.Diesel (todas)'}
741;{'codigo': 741, 'nome': 'F-1000 XL 2.5 HSD Diesel TB'}
742;{'codigo': 742, 'nome': 'F-1000 XL 4.9i'}
743;{'codigo': 743, 'nome': 'F-1000 XL 4.9i CE'}
744;{'codigo': 744, 'nome': 'F-1000 XL 4x4 Diesel Turbo'}
745;{'codigo': 745, 'nome': 'F-1000 XL Diesel Turbo'}
746;{'codigo': 746, 'nome': 'F-1000 XLT 2.5 HSD Diesel TB'}
