codigo;nome;id
747;F-1000 XLT 4x4 Diesel Turbo;22
748;F-1000 XLT CE 4.9i;22
749;F-1000 XLT Diesel Turbo;22
750;F-1000 XLT/XL Lighting 4.9i;22
10398;F-150 Lariat 4x4 5.0 V8;22
10399;F-150 Platinum 4x4 5.0 V8;22
751;F-150 XL Triton 4.3 V6;22
752;F-150 XLT Triton 4.3;22
753;F-150 XLT Triton 4.6 V8;22
754;F-150 XLT Triton 5.8;22
5191;F-250 F-MILHA CD 3.9 TB Diesel;22
6032;F-250 Tropica./Tropmine Exec. 3.9 Diesel;22
4161;F-250 TropiCab CE 3.9 TB Diesel;22
755;F-250 Tropical 3.9 Diesel;22
756;F-250 Tropical 4.2 CE / CD Diesel TB;22
757;F-250 Tropical 4.2 V6;22
758;F-250 Tropical SL/ Van T.Diesel (todas);22
4162;F-250 Tropicampo CD 3.9 TB Diesel;22
4163;F-250 Tropiclassic 3.9 TB Diesel;22
4164;F-250 Tropivan Executive 3.9 TB Diesel;22
4165;F-250 Tropivan/Tropi. Plus 3.9 TB Diesel;22
762;F-250 XL 3.9 4x2 Diesel;22
4056;F-250 XL 3.9 4x4 TB Diesel;22
4057;F-250 XL 3.9 CD TB Diesel;22
759;F-250 XL 4.2 180cv CD TB Diesel;22
760;F-250 XL 4.2 Turbo Diesel;22
761;F-250 XL 4.2 V6;22
763;F-250 XL Super Duty 3.9 Diesel;22
764;F-250 XL Super Duty 4.2 TB Diesel;22
765;F-250 XL Super Duty 4.2 V6;22
4058;F-250 XLT 3.9 4x2 CD TB Diesel;22
766;F-250 XLT 3.9 4x2 Diesel TB;22
4059;F-250 XLT 3.9 4x4 CD TB Diesel;22
4060;F-250 XLT 3.9 4x4 TB Diesel;22
767;F-250 XLT 4.2 180cv CD TB Diesel;22
768;F-250 XLT 4.2 TB Diesel;22
769;F-250 XLT 4.2 V6;22
4135;Fiesta 1.0 8V Flex/Class 1.0 8V Flex 5p;22
770;Fiesta 1.0i 3p e 5p;22
771;Fiesta 1.3  3p e 5p;22
6422;Fiesta 1.5 16V Flex Mec. 5p;22
6423;Fiesta 1.6 16V Flex Aut. 5p;22
6424;Fiesta 1.6 16V Flex Mec. 5p;22
772;Fiesta 1.6 8V Flex/Class 1.6 8V Flex 5p;22
773;Fiesta Class 1.0 2p;22
774;Fiesta Class 1.0 4p;22
775;Fiesta Class 1.6 8V 98cv 5p;22
776;Fiesta CLX 1.3i 3p;22
777;Fiesta CLX 1.3i 5p;22
778;Fiesta CLX 1.4i 16V 3p e 5p;22
779;Fiesta GL 1.0 3p;22
780;Fiesta GL 1.0 5p;22
781;Fiesta GL Class 1.0i 5p;22
782;Fiesta GLX 1.6 8V 3p;22
783;Fiesta GLX 1.6 8V 5p;22
784;Fiesta Personnalité 1.0 8V 66cv 5p;22
6425;Fiesta S 1.0 8V Flex 5p;22
6426;Fiesta SE 1.0 8V Flex 5p;22
5668;Fiesta SE 1.6 16V Flex 5p;22
6427;Fiesta SE 1.6 8V Flex 5p;22
8148;Fiesta SE Plus 1.6 16V Flex Aut. 5p;22
8008;Fiesta SE Plus Direct 1.6 16V Flex Aut.;22
7753;Fiesta SE Style 1.6 16V Flex Mec. 5p;22
785;Fiesta Sed. 1.6 8V Flex 4p;22
786;Fiesta Sed. Personnalité 1.0 8V 4p;22
787;Fiesta Sed. Supercharger 1.0 8V 4p;22
6523;Fiesta Sed. TI./TI.Plus1.6 16V Flex Aut.;22
4136;Fiesta Sedan 1.0 8V Flex 4p;22
6521;Fiesta Sedan 1.6 16V Flex Aut.;22
6522;Fiesta Sedan 1.6 16V Flex Mec.;22
6428;Fiesta Sedan S 1.0 8V Flex 4p;22
6429;Fiesta Sedan SE 1.0 8V Flex 4p;22
5345;Fiesta Sedan SE 1.6 16V Flex 4p;22
6430;Fiesta Sedan SE 1.6 8V Flex 4p;22
8047;Fiesta Sedan SEL 1.6 16V Flex Aut.;22
8048;Fiesta Sedan SEL 1.6 16V Flex Mec.;22
788;Fiesta Sedan Street 1.0 8v 4p;22
789;Fiesta Sedan Street 1.6 8v 4p;22
6524;Fiesta Sedan TITANIUM 1.6 16V Flex Mec;22
8009;Fiesta SEL 1.0 12V EcoBoost Aut. 5p;22
7659;Fiesta SEL 1.6 16V Flex  Aut. 5p;22
7660;Fiesta SEL 1.6 16V Flex Mec. 5p;22
8177;Fiesta SEL Style 1.0 EcoBoost Aut . 5p;22
7754;Fiesta SEL Style 1.6 16V Flex Mec. 5p;22
790;Fiesta Sport 1.0MPi 4p;22
7184;Fiesta Sport 1.6 16V Flex Mec.;22
791;Fiesta Sport 1.6MPi 4p;22
792;Fiesta Street 1.0 8v 3p;22
793;Fiesta Street 1.6 8v 95cv 5p;22
794;Fiesta Street/ Action 1.0 8v 5p;22
795;Fiesta Supercharger 1.0 8V 95cv 5p;22
6431;Fiesta TIT./TIT.Plus 1.6 16V Flex Aut.;22
7661;Fiesta TIT.Plus 1.0 12V EcoBoost Aut. 5p;22
6432;Fiesta TITANIUM 1.6 16V Flex Mec.;22
4409;Fiesta TRAIL 1.0 8V Flex 5p;22
4410;Fiesta TRAIL 1.6 8V Flex 5p;22
6610;Focus 1.6 S/1.6 SE Flex 16v 5p Aut;22
796;Focus 1.6 S/SE/SE Plus Flex 8V/16V  5p;22
797;Focus 1.8 16V 5p;22
798;Focus 2.0 16V/ 2.0 16V Flex 5p;22
799;Focus 2.0 16V/SE/SE Plus Flex 5p Aut.;22
7284;Focus Fastback SE/SE PLUS 2.0 Flex Aut.;22
7285;Focus Fastback TIT./T.PLUS 2.0 Flex Aut.;22
800;Focus Ghia  2.0 16V/ 2.0 16V Flex 5p Aut;22
801;Focus Ghia Sed. 2.0 16V/ 2.0 16V Flex 4p;22
802;Focus Ghia Sed. 2.0 16V/2.0 16V Flex Aut;22
803;Focus Ghia/ XR 2.0 /Ghia 2.0 16V Flex 5p;22
5450;Focus Sed. TI./TI.Plus 2.0 16V Flex  Aut;22
7687;Focus Sedan 1.6 16V Flex 4p Aut.;22
804;Focus Sedan 1.6/1.6 Flex 8V/16V 4p Mec.;22
805;Focus Sedan 1.8 16V 115cv 4p;22
806;Focus Sedan 2.0 16V/2.0 16V Flex 4p;22
807;Focus Sedan 2.0 16V/2.0 16V Flex 4p Aut.;22
5451;Focus TITA/TITA Plus 2.0  Flex 5p Aut.;22
5452;Focus TITANIUM 2.0 16V Flex 5p Mec.;22
808;Furglaine 3.6;22
809;Furglaine 3.9 Diesel;22
810;Furglaine Chateaux/Exec. 3.9 Diesel;22
10006;Fusion 2.5 16V 193cv Aut. (Híbrido);22
6381;Fusion 2.5L I-VCT Flex Aut.;22
7826;Fusion SE 2.5 I-VCT Flex 16V Aut.;22
7755;Fusion SEL 2.0 Ecobo. 16V 248cv Aut.;22
4061;Fusion SEL 2.3 16V  162cv Aut.;22
4922;Fusion SEL 2.5 16V 173cv Aut.;22
5622;Fusion SEL 3.0 V6  24V 243cv Aut.;22
4923;Fusion SEL 3.0 V6 AWD 24V 243cv Aut.;22
10007;Fusion Titanium 2.0 145cv Aut. (Híbrido);22
6324;Fusion Titanium 2.0 GTDI Eco. Awd Aut.;22
6382;Fusion Titanium 2.0 GTDI Eco. Fwd Aut.;22
