;id;municipio;estado;regiao;uf;data
9790;221097905;Tanque do Piauí;Piauí;Nordeste;PI;2024-02-04 15:58:33
9791;293105305;Tanque Novo;Bahia;Nordeste;BA;2024-02-04 15:58:33
9792;230770040;Maranguape;Ceará;Nordeste;CE;2024-02-04 15:58:33
9793;293110305;Tanquinho;Bahia;Nordeste;BA;2024-02-04 15:58:33
9794;290135315;Andorinha;Bahia;Nordeste;BA;2024-02-04 15:58:33
9795;316805105;Taparuba;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9796;130410405;Tapauá;Amazonas;Norte;AM;2024-02-04 15:58:33
9797;432090905;Tapejara;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9798;412680105;Tapejara;Paraná;Sul;PR;2024-02-04 15:58:33
9799;432100605;Tapera;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9800;432135220;Tavares;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9801;230100030;Aquiraz;Ceará;Nordeste;CE;2024-02-04 15:58:33
9802;251650805;Taperoá;Paraíba;Nordeste;PB;2024-02-04 15:58:33
9803;293120205;Taperoá;Bahia;Nordeste;BA;2024-02-04 15:58:33
9804;231290855;Sobral;Ceará;Nordeste;CE;2024-02-04 15:58:33
9805;432110505;Tapes;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9806;352270315;Itápolis;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9807;316810105;Tapira;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9808;412690005;Tapira;Paraná;Sul;PR;2024-02-04 15:58:33
9809;316820005;Tapiraí;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9810;355350005;Tapiraí;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9811;261310715;São Caitano;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
9812;292720015;Ruy Barbosa;Bahia;Nordeste;BA;2024-02-04 15:58:33
9813;291150110;Gongogi;Bahia;Nordeste;BA;2024-02-04 15:58:33
9814;293130105;Tapiramutá;Bahia;Nordeste;BA;2024-02-04 15:58:33
9815;292120315;Miguel Calmon;Bahia;Nordeste;BA;2024-02-04 15:58:33
9816;510170422;Barra do Bugres;Mato Grosso;Centro-Oeste;MT;2024-02-04 15:58:33
9817;355360905;Tapiratiba;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9818;290580020;Camamu;Bahia;Nordeste;BA;2024-02-04 15:58:33
9819;231130665;Quixadá;Ceará;Nordeste;CE;2024-02-04 15:58:33
9820;230310535;Cariré;Ceará;Nordeste;CE;2024-02-04 15:58:33
9821;317020625;Uberlândia;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9822;510800605;Tapurah;Mato Grosso;Centro-Oeste;MT;2024-02-04 15:58:33
9823;432120405;Taquara;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9824;420300615;Caçador;Santa Catarina;Sul;SC;2024-02-04 15:58:33
9825;316830905;Taquaraçu de Minas;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9826;355365805;Taquaral;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9827;431880440;São Lourenço do Sul;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9828;430120645;Arroio do Tigre;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9829;522100705;Taquaral de Goiás;Goiás;Centro-Oeste;GO;2024-02-04 15:58:33
9830;312800625;Guanhães;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9831;313400420;Itinga;Minas Gerais;Sudeste;MG;2024-02-04 15:58:33
9832;270910305;Taquarana;Alagoas;Nordeste;AL;2024-02-04 15:58:33
9833;292140115;Mirangaba;Bahia;Nordeste;BA;2024-02-04 15:58:33
9834;421430010;Rancho Queimado;Santa Catarina;Sul;SC;2024-02-04 15:58:33
9835;432130305;Taquari;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9836;230710620;Jardim;Ceará;Nordeste;CE;2024-02-04 15:58:33
9837;500330615;Coxim;Mato Grosso do Sul;Centro-Oeste;MS;2024-02-04 15:58:33
9838;431110620;Jaguari;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9839;292200315;Mucuri;Bahia;Nordeste;BA;2024-02-04 15:58:33
9840;355370805;Taquaritinga;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9841;261500305;Taquaritinga do Norte;Pernambuco;Nordeste;PE;2024-02-04 15:58:33
9842;355380705;Taquarituba;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9843;355385605;Taquarivaí;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9844;172100015;Palmas;Tocantins;Norte;TO;2024-02-04 15:58:33
9845;432132905;Taquaruçu do Sul;Rio Grande do Sul;Sul;RS;2024-02-04 15:58:33
9846;500797605;Taquarussu;Mato Grosso do Sul;Centro-Oeste;MS;2024-02-04 15:58:33
9847;355390605;Tarabai;São Paulo;Sudeste;SP;2024-02-04 15:58:33
9848;120060905;Tarauacá;Acre;Norte;AC;2024-02-04 15:58:33
9849;230280030;Canindé;Ceará;Nordeste;CE;2024-02-04 15:58:33
9850;110011425;Jaru;Rondônia;Norte;RO;2024-02-04 15:58:33
